Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% net)",SE.SEC.NENR,46.6585,48.44288,50.1407,..,..
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,9.686420441,..,..
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,33.981,33.211,32.487,..,..
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.8,4.633,4.473,..,..
Afghanistan,AFG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,17.31999969,18.03000069,18.45999908,18.54999924,..
Afghanistan,AFG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,36.86999893,37.99000168,38.40999985,38.95999908,..
Afghanistan,AFG,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,..,..,..,..
Afghanistan,AFG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,83.5,82.44999695,82.33999634,82.19000244,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.31000042,11.18000031,11.06000042,10.97999954,11.72999954
Albania,ALB,"School enrollment, primary (% net)",SE.PRM.NENR,94.05692,95.53947,94.52966,..,..
Albania,ALB,"School enrollment, secondary (% net)",SE.SEC.NENR,86.48091,86.6726,86.60827,..,..
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,58.3818512,57.3752594,54.96133041,59.7784996,..
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.08,11.934,11.78,..,..
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.659,1.638,1.617,..,..
Albania,ALB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,19.37999916,19.37999916,19.75,20.14999962,..
Albania,ALB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,40.58000183,42.54000092,42.97000122,43.43000031,..
Albania,ALB,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,25.82999992,23.73999977,21.23999977,19.37999916,..
Albania,ALB,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,58.59999847,57.09999847,55.47999954,54.27000046,..
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,15.42000008,13.61999989,12.30000019,11.47000027,11.69999981
Algeria,DZA,"School enrollment, primary (% net)",SE.PRM.NENR,97.5908,97.5883,97.63517,..,..
Algeria,DZA,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..
Algeria,DZA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,42.62884903,47.64683151,51.36566925,..,..
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.25,24.846,24.282,..,..
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.052,3.045,3.023,..,..
Algeria,DZA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,30.95000076,30.98999977,30.90999985,30.42000008,..
Algeria,DZA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,58.77999878,58.84999847,59.22000122,59.99000168,..
Algeria,DZA,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,19.38999939,..,..,..
Algeria,DZA,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,31.54000092,31.72999954,31.97999954,32.29000092,..
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.19999981,12,11.89000034,11.81000042,12.82999992
American Samoa,ASM,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..
American Samoa,ASM,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..
American Samoa,ASM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,16.6,..,..,..
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
American Samoa,ASM,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
American Samoa,ASM,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
American Samoa,ASM,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,..,..,..,..
American Samoa,ASM,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,..,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..
Andorra,AND,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..
Andorra,AND,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..
Andorra,AND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.8,..,7.2,..,..
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Andorra,AND,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
Andorra,AND,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
Andorra,AND,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,..,..,..,..
Andorra,AND,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,..,..,..,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..
Angola,AGO,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..
Angola,AGO,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,9.336259842,..,..,..,..
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,41.882,41.281,40.729,..,..
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.686,5.6,5.519,..,..
Angola,AGO,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,7.389999866,7.190000057,6.989999771,6.800000191,..
Angola,AGO,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,41.45999908,41.81999969,42.11000061,42.47000122,..
Angola,AGO,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,..,..,..,..
Angola,AGO,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,76.56999969,77.40000153,78.37999725,78.51000214,..
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.199999809,7.099999905,7,6.929999828,7.699999809
Antigua and Barbuda,ATG,"School enrollment, primary (% net)",SE.PRM.NENR,..,94.19429,95.69547,..,..
Antigua and Barbuda,ATG,"School enrollment, secondary (% net)",SE.SEC.NENR,..,87.74032,88.78981,..,..
Antigua and Barbuda,ATG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.717,15.53,15.327,..,..
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.003,1.999,1.994,..,..
Antigua and Barbuda,ATG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..
Argentina,ARG,"School enrollment, primary (% net)",SE.PRM.NENR,99.10172,99.184,..,..,..
Argentina,ARG,"School enrollment, secondary (% net)",SE.SEC.NENR,89.88468,90.79605,..,..,..
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,87.21344757,89.95851898,..,..,..
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.383,17.205,17.021,..,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.288,2.275,2.261,..,..
Argentina,ARG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,22.87999916,22.44000053,21.90999985,21.84000015,..
Argentina,ARG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,76.98999786,77.5,77.98999786,78.09999847,..
Argentina,ARG,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,37.33000183,37.79000092,39.5,..
Argentina,ARG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,24.81999969,25.34000015,25.53000069,26.51000023,..
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.96999979,8.350000381,9.220000267,9.840000153,11.67000008
Armenia,ARM,"School enrollment, primary (% net)",SE.PRM.NENR,92.23963,91.94625,90.72273,..,..
Armenia,ARM,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..
Armenia,ARM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,51.08018875,52.25152969,54.57048035,51.48752975,..
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.568,14.298,13.987,..,..
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.744,1.75,1.755,..,..
Armenia,ARM,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,15.77999973,16.70999908,22.79000092,24.75,..
Armenia,ARM,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,50.61999893,51.95000076,51.43000031,51.20000076,..
Armenia,ARM,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,35.66999817,32.95999908,24.42000008,20.40999985,..
Armenia,ARM,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,41.95000076,40.34000015,35.58000183,33.97000122,..
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.62000084,17.70999908,18.96999931,18.80999947,20.20999908
Aruba,ABW,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..
Aruba,ABW,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,15.59920979,..,..,..,..
Aruba,ABW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.404,11.532,11.652,..,..
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.872,1.886,1.896,..,..
Aruba,ABW,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
Aruba,ABW,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
Aruba,ABW,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,..,..,..,..
Aruba,ABW,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,..,..,..,..,..
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..
Australia,AUS,"School enrollment, primary (% net)",SE.PRM.NENR,96.65012,96.38096,..,..,..
Australia,AUS,"School enrollment, secondary (% net)",SE.SEC.NENR,92.76952,92.28431,..,..,..
Australia,AUS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,120.9657135,113.1421585,107.8080521,..,..
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.9,12.6,12.6,..,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.752,1.741,1.74,..,..
Australia,AUS,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,19.36000061,19.43000031,19.88999939,19.05999947,..
Australia,AUS,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,78.01999664,77.97000122,77.5,78.37999725,..
Australia,AUS,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,43.65999985,45.79000092,..,..,..
Australia,AUS,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,17.04999924,16.89999962,16.45999908,16.57999992,..
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.710000038,5.590000153,5.300000191,5.159999847,6.610000134
Austria,AUT,"School enrollment, primary (% net)",SE.PRM.NENR,88.84197,88.61718,..,..,..
Austria,AUT,"School enrollment, secondary (% net)",SE.SEC.NENR,87.37319,87.00131,..,..,..
Austria,AUT,"School enrollment, tertiary (% gross)",SE.TER.ENRR,83.45494843,85.05713654,86.68834686,..,..
Austria,AUT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10,10,9.7,..,..
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.53,1.52,1.47,..,..
Austria,AUT,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,25.55999947,24.92000008,25.44000053,25.36000061,..
Austria,AUT,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,70.08999634,71.15000153,70.87000275,70.98999786,..
Austria,AUT,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,44.54000092,45.40000153,44.83000183,43.93999863,..
Austria,AUT,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,12.72000027,12.38000011,12.01000023,12.15999985,..
