Country Name,Country Code,Series Name,Series Code,2019
Afghanistan,AFG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,18.54999924
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,42.5
Afghanistan,AFG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,38.95999908
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.97999954
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Afghanistan,AFG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,64
Afghanistan,AFG,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,66
Afghanistan,AFG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,66
Afghanistan,AFG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Afghanistan,AFG,"International tourism, number of arrivals",ST.INT.ARVL,..
Afghanistan,AFG,"International tourism, number of departures",ST.INT.DPRT,..
Albania,ALB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,20.14999962
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,36.41999817
Albania,ALB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,43.43000031
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.47000027
Albania,ALB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Albania,ALB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95
Albania,ALB,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,99
Albania,ALB,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,99
Albania,ALB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Albania,ALB,"International tourism, number of arrivals",ST.INT.ARVL,6406000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,5922000
Algeria,DZA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,30.42000008
Algeria,DZA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,9.600000381
Algeria,DZA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,59.99000168
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.81000042
Algeria,DZA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Algeria,DZA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,80
Algeria,DZA,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,91
Algeria,DZA,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,91
Algeria,DZA,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Algeria,DZA,"International tourism, number of arrivals",ST.INT.ARVL,2371000
Algeria,DZA,"International tourism, number of departures",ST.INT.DPRT,5732000
American Samoa,ASM,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..
American Samoa,ASM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..
American Samoa,ASM,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
American Samoa,ASM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
American Samoa,ASM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..
American Samoa,ASM,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..
American Samoa,ASM,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,..
American Samoa,ASM,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
American Samoa,ASM,"International tourism, number of arrivals",ST.INT.ARVL,52700.00076
American Samoa,ASM,"International tourism, number of departures",ST.INT.DPRT,..
Andorra,AND,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..
Andorra,AND,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..
Andorra,AND,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Andorra,AND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Andorra,AND,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99
Andorra,AND,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,98
Andorra,AND,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,99
Andorra,AND,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Andorra,AND,"International tourism, number of arrivals",ST.INT.ARVL,8235000
Andorra,AND,"International tourism, number of departures",ST.INT.DPRT,..
Angola,AGO,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,6.800000191
Angola,AGO,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,50.72999954
